For 2023/10/31 44893828 BGP UPDATES were parsed. 44120994 UPDATES contained prefix advertisements. 3168106 UPDATES contained prefix withdraws.

Prefixes with most bogon origin ASNs per prefix: 1 prefix(es) had 2 bogon origin ASNs.
Prefix 194.165.23.0/24 from origin ASN(s) AS64999 AS65065

Bogon prefixes with most origin ASNs per prefix: 162 bogon prefix(es) had 1 origin ASNs.
Prefix 100.96.100.0/24 from origin ASN(s) AS57681
Prefix 2002::/16 from origin ASN(s) AS6939 (HURRICANE)
Prefix 172.17.1.228/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.220/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.44/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.208/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.32/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.18/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.16/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.6.4/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.92/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.98/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.124/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.68/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.50/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.0.68/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.0.12/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.0.72/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.60/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.96/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.40/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.108/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.28/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.0.102/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.112/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.4/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.24/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.68/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.80/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.180/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.0.92/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.26/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.200/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.232/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.64/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.84/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.12/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.76/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.2/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.86/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.0.90/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.176/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.244/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.0.104/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.70/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.94/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.1.240/30 from origin ASN(s) AS1031 (PEER-1-INTERNET)
Prefix 172.17.2.34/31 from origin ASN(s) AS1031 (PEER-1-INTERNET)
