For 2025/01/15 74367059 BGP UPDATES were parsed. 73639079 UPDATES contained prefix advertisements. 2537953 UPDATES contained prefix withdraws.

Prefixes with most bogon origin ASNs per prefix: 3 prefix(es) had 2 bogon origin ASNs.
Prefix 160.187.249.0/24 from origin ASN(s) AS23456 AS65014
Prefix 103.142.48.0/24 from origin ASN(s) AS65157 AS23456
Prefix 185.37.99.0/24 from origin ASN(s) AS65530 AS65540

Bogon prefixes with most origin ASNs per prefix: 198 bogon prefix(es) had 1 origin ASNs.
Prefix 2002::/16 from origin ASN(s) AS6939 (HURRICANE)
Prefix 172.17.0.32/30 from origin ASN(s) AS20205 (AMPLEX)
Prefix 2001:2::/48 from origin ASN(s) AS13649 (ASN-FLEXENTIAL)
Prefix 10.10.11.0/24 from origin ASN(s) AS12552 (IPO-EU)
Prefix 192.88.99.0/24 from origin ASN(s) AS6939 (HURRICANE)
Prefix 169.254.1.0/24 from origin ASN(s) AS9730 (BHARTITELESONIC-AS-IN-AP)
Prefix 100.67.64.0/19 from origin ASN(s) AS263998 (Machado & Mascarelo Sonorizacao Ltda)
Prefix 100.125.1.0/29 from origin ASN(s) AS20205 (AMPLEX)
Prefix 172.16.63.72/29 from origin ASN(s) AS20205 (AMPLEX)
Prefix 10.10.23.12/30 from origin ASN(s) AS20205 (AMPLEX)
Prefix 100.120.253.0/29 from origin ASN(s) AS20205 (AMPLEX)
Prefix 10.130.151.0/24 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.254.254/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.252/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.100/31 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.252/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.0/31 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.249/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.24/29 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.253/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.248/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.247/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.250/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.251/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.2/31 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.4/31 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.249/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.8/31 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.40/29 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.254/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.250/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.16/29 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.8/29 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.6/31 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.56/29 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.254/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.10/31 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.0/29 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.151.246/32 from origin ASN(s) AS56655 (GIGAHOST)
Prefix 10.130.152.32/29 from origin ASN(s) AS56655 (GIGAHOST)
